task_name,sub_task,matched_standard,standard_rate,standard_unit
งานจัดการจราจรทางอากาศ,การทดสอบระบบจราจรทางอากาศ,การทดสอบระบบ,1.00,ระบบ
งานจัดการจราจรทางอากาศ,การติดตั้งจอแสดงผลจราจร,การติดตั้งจอแสดงผล,1.00,จอ
งานติดตั้งระบบลำเลียงสัมภาระ,การติดตั้งสายพานลำเลียง,การติดตั้งสายพานลำเลียง,15.00,เมตร
งานติดตั้งระบบลำเลียงสัมภาระ,การทดสอบระบบลำเลียงสัมภาระ,การทดสอบระบบ,1.00,ระบบ
งานติดตั้งระบบลำเลียงสัมภาระ,การบำรุงรักษาสายพาน,การบำรุงรักษา,1.00,หน่วย
งานติดตั้งระบบประปา,การติดตั้งท่อประปาหลัก,การติดตั้งระบบประปา,35.00,เมตร
งานติดตั้งระบบประปา,การทดสอบระบบประปา,การทดสอบระบบ,1.00,ระบบ
งานติดตั้งระบบประปา,การติดตั้งวาล์วควบคุมน้ำ,การติดตั้งวาล์ว,7.00,ตัว
งานก่อสร้างที่จอดเครื่องบิน,การก่อสร้างฐานที่จอดเครื่องบิน,การก่อสร้างคอนกรีต,7.00,ลูกบาศก์เมตร
งานก่อสร้างที่จอดเครื่องบิน,การ พื้นคอนกรีตที่จอดเครื่องบิน,การก่อสร้างคอนกรีต,7.00,ลูกบาศก์เมตร
งานก่อสร้างที่จอดเครื่องบิน,การทำเครื่องหมายที่จอดเครื่องบิน,ไม่สามารถจับคู่ได้,,
งานติดตั้งป้ายบอกทางในสนามบิน,การติดตั้งป้ายบอกทาง,การติดตั้งป้าย,7.00,ป้าย
งานติดตั้งป้ายบอกทางในสนามบิน,การทาสีป้ายบอกทาง,การทาสี,40.00,ตารางเมตร
งานติดตั้งป้ายบอกทางในสนามบิน,การตรวจสอบป้ายบอกทาง,การตรวจสอบป้าย,15.00,ป้าย
งานจัดสวนบริเวณสนามบิน,การปลูกต้นไม้รอบสนามบิน,การปลูกต้นไม้,35.00,ต้น
งานจัดสวนบริเวณสนามบิน,การตัดแต่งพุ่มไม้,การตัดแต่งพุ่มไม้,75.00,ตารางเมตร
งานตกแต่งภายในอาคารผู้โดยสาร,การติดตั้งผนังตกแต่งภายใน,การติดตั้งผนังและฝ้า,15.00,ตารางเมตร
งานทำความสะอาดพื้นที่ก่อสร้าง,การทำความสะอาดเศษวัสดุก่อสร้าง,การเคลื่อนย้ายเศษวัสดุ,1.50,ตัน
งานจัดสวนบริเวณสนามบิน,การติดตั้งระบบรดน้ำอัตโนมัติ,การติดตั้งระบบรดน้ำ,15.00,เมตร
งานบริหารจัดการความปลอดภัย,การฝึกอบรมความปลอดภัย,การฝึกอบรมความปลอดภัย,15.00,คน
งานบริหารจัดการความปลอดภัย,การตรวจสอบอุปกรณ์ความปลอดภัย,การตรวจสอบอุปกรณ์,15.00,ชิ้น
งานบริหารจัดการความปลอดภัย,การจัดทำรายงานความปลอดภัย,การจัดทำรายงาน,1.00,รายงาน
งานติดตั้งระบบดับเพลิง,การติดตั้งหัวฉีดดับเพลิง,การติดตั้งระบบดับเพลิง,7.00,หัว
งานติดตั้งระบบดับเพลิง,การทดสอบระบบดับเพลิง,การทดสอบระบบ,1.00,ระบบ
งานติดตั้งระบบดับเพลิง,การติดตั้งถังเก็บน้ำดับเพลิง,การติดตั้งถังน้ำ,1.00,ถัง
งานก่อสร้างหอควบคุมจราจร,การก่อสร้างฐานหอควบคุม,การก่อสร้างคอนกรีต,7.00,ลูกบาศก์เมตร
งานก่อสร้างหอควบคุมจราจร,การติดตั้งโครงสร้างหอควบคุม,การติดตั้งโครงเหล็ก,75.00,ตารางเมตร
งานก่อสร้างหอควบคุมจราจร,การทาสีหอควบคุม,การทาสี,40.00,ตารางเมตร
งานติดตั้งระบบสื่อสารภายใน,การติดตั้งระบบสื่อสารภายใน,การติดตั้งระบบสื่อสาร,45.00,เมตร
งานติดตั้งระบบสื่อสารภายใน,การทดสอบระบบสื่อสาร,การทดสอบระบบ,1.00,ระบบ
งานติดตั้งระบบสื่อสารภายใน,การติดตั้งสายเคเบิลสื่อสาร,การติดตั้งระบบสื่อสาร,45.00,เมตร
งานก่อสร้างทางเชื่อมอาคาร,การก่อสร้างทางเชื่อมคอนกรีต,การก่อสร้างคอนกรีต,7.00,ลูกบาศก์เมตร
งานก่อสร้างทางเชื่อมอาคาร,การติดตั้งราวกันตก,การติดตั้งราวและลวดหนาม,45.00,เมตร
งานก่อสร้างทางเชื่อมอาคาร,การทาสีทางเชื่อม,การทาสี,40.00,ตารางเมตร
งานติดตั้งระบบระบายน้ำ,การติดตั้งท่อระบายน้ำ,การติดตั้งระบบระบายน้ำ,35.00,เมตร
งานติดตั้งระบบระบายน้ำ,การทดสอบระบบระบายน้ำ,การทดสอบระบบ,1.00,ระบบ
งานติดตั้งระบบระบายน้ำ,การทำความสะอาดท่อระบายน้ำ,การทำความสะอาดท่อ,35.00,เมตร
งานสำรวจโครงสร้างดิน,การเก็บตัวอย่างดินฐานราก,การเก็บตัวอย่างดิน,15.00,จุด
งานสำรวจโครงสร้างดิน,การวิเคราะห์ความแข็งแรงดิน,การวิเคราะห์ดิน,7.00,ตัวอย่าง
งานสำรวจโครงสร้างดิน,การทำแผนที่โครงสร้างดิน,การทำแผนที่ดิน,3.00,ไร่
งานติดตั้งประตูอัตโนมัติ,การติดตั้งประตูอัตโนมัติ,การติดตั้งประตูอัตโนมัติ,1.00,ประตู
งานติดตั้งประตูอัตโนมัติ,การทดสอบประตูอัตโนมัติ,การทดสอบระบบ,1.00,ระบบ
งานติดตั้งประตูอัตโนมัติ,การบำรุงรักษาประตูอัตโนมัติ,การบำรุงรักษา,1.00,หน่วย
งานก่อสร้างรั้วรอบสนามบิน,การก่อสร้างรั้วคอนกรีต,การก่อสร้างรั้ว,7.00,ตารางเมตร
งานก่อสร้างรั้วรอบสนามบิน,การติดตั้งลวดหนามบนรั้ว,การติดตั้งราวและลวดหนาม,45.00,เมตร
งานก่อสร้างรั้วรอบสนามบิน,การทาสีรั้วรอบสนามบิน,การทาสี,40.00,ตารางเมตร
งานก่อสร้างรั้วรอบสนามบิน,การตรวจสอบความแข็งแรงรั้ว,การตรวจสอบโครงสร้าง,75.00,ตารางเมตร
งานติดตั้งระบบตรวจสอบสัมภาระ,การติดตั้งเครื่องสแกนสัมภาระ,การติดตั้งเครื่องสแกน,1.00,เครื่อง
งานติดตั้งระบบตรวจสอบสัมภาระ,การทดสอบระบบสแกนสัมภาระ,การทดสอบระบบ,1.00,ระบบ
งานติดตั้งระบบตรวจสอบสัมภาระ,การบำรุงรักษาเครื่องสแกน,การบำรุงรักษา,1.00,หน่วย
